职位名称,薪酬,城市地区,工作经验要求,学历要求,关键词,公司名称,规模类型,公司标签
经济与金融研究院-量化机器学习分析师,1.5-2.5万,上海,3-4年,硕士,五险一金,兴业证券股份有限公司,国企  |  5000-10000人,金融/投资/证券
产业规划师（经济地理/人文地理）,2-3万,南京,5-7年,硕士,"人文地理
区域发展
产业规划
五险一金
餐饮补贴
定期体检
年终奖金
带薪年假
免费班车
专业培训
绩效奖金",华设设计集团股份有限公司,已上市  |  1000-5000人,交通/运输/物流
市场准入经理（药物经济学）,2-3万,上海·浦东新区,3-4年,本科,"股票期权
定期体检
补充医疗保险
餐饮补贴",南京驯鹿医疗技术有限公司,民营  |  150-500人,制药/生物工程
国际课程经济教师,20-30万/年,佛山·南海区,3-4年,本科,"A-level
IB
GCSE
AP
五险一金
绩效奖金
年终奖金
专业培训",佛山市南海区美伦国际教育中心,民营  |  150-500人,教育/培训/院校
工程经济（安装）,8千-1万·13薪,昆山,3-4年,大专,"建设工程
计价
合同起草
合同谈判
造价
审计
项目
年终奖金
专业培训
定期体检
弹性工作
五险一金
免费员工餐
可提供住宿
绩效奖金
项目兑现奖",江苏泉润建设工程有限公司,民营  |  150-500人,建筑/建材/工程
双语经济学教师,7千-1.1万,南京·建邺区,1年,本科,"英语教学
经济学
经融学
留学背景
五险一金
周末双休
带薪寒暑假",南京简语杰教育科技有限公司,民营  |  少于50人,教育/培训/院校
总经济师,3-4万,佛山,10年以上,本科,"六险一金
年终奖金
通讯补贴
专业培训
定期体检
免费食宿
带薪年假
节日福利
团建活动
交通补贴",沈阳腾越建筑工程有限公司,民营  |  1000-5000人,建筑/建材/工程
国际课程经济教师,20-30万/年,佛山·南海区,3-4年,本科,"A-level
IB
GCSE
AP
五险一金
绩效奖金
年终奖金
专业培训",佛山市南海区美伦国际教育中心,民营  |  150-500人,教育/培训/院校
环境经济政策研究工程师,15-20万/年,武汉·武昌区,无需经验,博士,五险一金,湖北省生态环境科学研究院（省生态环境工程评估中心）,事业单位  |  150-500人,环保
A-Level双语经济学教师,1.2-2万,南通·通州区,2年,本科,"五险一金
交通补贴
年终奖金
做五休二",南通州外国语学校,民营  |  少于50人,教育/培训/院校
国际课程经济教师,20-30万/年,佛山·南海区,3-4年,本科,"A-level
IB
GCSE
AP
五险一金
绩效奖金
年终奖金
专业培训",佛山市南海区美伦国际教育中心,民营  |  150-500人,教育/培训/院校
国际课程经济教师,20-30万/年,佛山·南海区,3-4年,本科,"A-level
IB
GCSE
AP
五险一金
绩效奖金
年终奖金
专业培训",佛山市南海区美伦国际教育中心,民营  |  150-500人,教育/培训/院校
国际课程经济教师,20-30万/年,佛山·南海区,3-4年,本科,"A-level
IB
GCSE
AP
五险一金
绩效奖金
年终奖金
专业培训",佛山市南海区美伦国际教育中心,民营  |  150-500人,教育/培训/院校
分析研判（行业研究）,1.2-1.6万,上海·浦东新区,1年,硕士,行研,杭州链杉经济信息咨询有限公司,民营  |  少于50人,金融/投资/证券
操作工（经济技术开发区）,4.5-8千,沈阳·铁西区,无需经验,,"五险一金
免费班车
绩效奖金
带薪年假
节日福利
专业培训
操作工",辽宁维航基业科技有限公司,民营  |  150-500人,石油/化工/矿产/地质
经济分析岗位,13-16万/年,宁波·鄞州区,3-4年,硕士,"数据分析
五险一金
补充医疗保险
员工旅游
餐饮补贴
绩效奖金
弹性工作
定期体检
交通补贴",宁波中经科技发展有限公司,国企  |  50-150人,计算机软件
经济普查项目经理/主管,8千-1万,北京·房山区,3-4年,大专,"经济普查
管理控制
项目管控
客户沟通
方案设计
项目开发
通讯补贴
专业培训
绩效奖金
弹性工作
定期体检
五险一金",北京永旺嘉诚安全科技发展有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
高级经济评价师,3-3.5万,湛江,5-7年,本科,"六险一金
节日福利
高温补贴
优秀服务奖
包吃包住",中润石油技术（深圳）有限公司,民营  |  10000人以上,专业服务(咨询、人力资源、财会)
分析研判,1.2-2.4万,上海·浦东新区,3-4年,硕士,行研,杭州链杉经济信息咨询有限公司,民营  |  少于50人,金融/投资/证券
国际高中经济学教师,9千-1.2万,上海·杨浦区,1年,本科,"教师
老师
高中
国际高中
双语
经济学
经济
五险一金
专业培训
免费午餐
寒暑假
圣诞假
定期体检
员工旅游",上海市民办上实剑桥外国语中学,非营利组织  |  150-500人,教育/培训/院校
经济评价主管,3-3.5万,湛江,8-9年,本科,"六险一金
节日福利
高温补贴
优秀服务奖
包吃包住",中润石油技术（深圳）有限公司,民营  |  10000人以上,专业服务(咨询、人力资源、财会)
政策研究咨询,8千-1.5万,成都·高新区,2年,硕士,"咨询
研究
五险一金
节日福利
加班补贴
周末双休
带薪年假
通讯补贴
绩效奖金
定期体检
食堂就餐",成都新经济发展研究院,事业单位  |  50-150人,政府/公共事业
FA融资专员,1.2-1.8万,上海·浦东新区,3-4年,本科,"融资
投资
投研
商务
融资方案
融资项目
融资条件
融资渠道
谈判
英语",杭州链杉经济信息咨询有限公司,民营  |  少于50人,金融/投资/证券
中学双语政治经济道法老师,1.2-1.8万,北京·大兴区,2年,硕士,"政治
经济
双语授课
道法
双语教学
教师资格证
教学
中学政治老师
高中政治老师
初中政治老师
五险一金
带薪假期
餐饮补贴
专业培训",北京欧洛斯咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
项目经济师（社招）,1-1.5万,上海·浦东新区,5-7年,本科,预算员,上海市建筑装饰工程集团有限公司,国企  |  1000-5000人,建筑/建材/工程
A Level国际课程——商科教师（经济学/会计/商务）,6千-1.1万,成都·成华区,无需经验,本科,"教学
教研
五险一金
补充医疗保险
年终奖金
带薪年假
带薪事假
双休",四川华夏博康教育科技有限公司,民营  |  少于50人,教育/培训/院校
技术经济设计师,15-25万/年,上海·宝山区,5-7年,本科,"五险一金
补充医疗保险
补充公积金
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",宝钢工程技术集团有限公司,国企  |  10000人以上,建筑/建材/工程
董事长秘书（商业经济方向）,9千-1.8万,北京·海淀区,3-4年,硕士,"商业经济发展
工作报告
商业商务活动
经济发展战略
商业信息
五险一金
绩效奖金
年终奖金
周末双休
带薪年假
专业培训
员工旅游",北京中智时代信息技术有限公司,民营  ,计算机软件
财务干事,4.5-6千,海口·美兰区,3-4年,本科,"会计
财务管理
周末双休
五险一金
免费班车
节日福利
餐饮补贴",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
数字经济与产业咨询研究员（成都）,8千-1.2万,成都·青羊区,2年,本科,"五险一金
餐饮补贴
年终奖金
定期体检
绩效奖金
专业培训
补充医疗保险
住房补贴",重庆信息通信研究院,事业单位  |  150-500人,通信/电信/网络设备
项目经济师-幕墙（社招）,1-1.5万,上海·静安区,3-4年,本科,"幕墙工程
造价
预结算
成本控制
测算
五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检
工会福利
高温费
过节礼包",上海市建筑装饰工程集团有限公司,国企  |  1000-5000人,建筑/建材/工程
经济研究,1-1.5万,杭州·西湖区,3-4年,硕士,"课题研究
决策咨询
产业政策
经济分析
五险一金
餐饮补贴
绩效奖金
员工旅游
定期体检",浙江省经济信息中心（浙江省价格研究所）,事业单位  |  150-500人,学术/科研
会计/审计/财务管理专任教师,5-8.5千,海口·美兰区,1年,本科,"教学
财务管理
会计学
审计学
注册会计师
大学教授
大学老师
周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
"A-level,CIE 经济学老师（中方）",1-2万,苏州·吴江区,本科,,"五险一金
员工旅游
出国机会
定期体检",北京外国语大学附属苏州湾外国语学校,民营  |  150-500人,教育/培训/院校
项目经济师（社招）,1.2-1.8万,上海·静安区,3-4年,大专,"项目经济师
预算
带薪年假
交通补贴
弹性工作
定期体检
餐饮补贴
节日福利",上海市建筑装饰工程集团有限公司,国企  |  1000-5000人,建筑/建材/工程
经济研究,1-1.5万,杭州·西湖区,3-4年,硕士,"课题研究
决策咨询
产业政策
经济分析
五险一金
餐饮补贴
绩效奖金
员工旅游
定期体检",浙江省经济信息中心（浙江省价格研究所）,事业单位  |  150-500人,学术/科研
国际经济与贸易专任教师,6-8千,成都,3-4年,硕士,"教师
经济
贸易
年终奖金
五险一金
专业培训
免费班车",北京吉利学院,非营利组织  |  10000人以上,教育/培训/院校
经济研究,1-1.5万,杭州·西湖区,3-4年,硕士,"课题研究
决策咨询
产业政策
经济分析
五险一金
餐饮补贴
绩效奖金
员工旅游
定期体检",浙江省经济信息中心（浙江省价格研究所）,事业单位  |  150-500人,学术/科研
财务经理,9-12万/年,武汉·黄陂区,3-4年,本科,"五险一金
定期体检
绩效奖金
餐饮补贴
交通补贴
专业培训",湖北南德经济发展集团有限公司,民营  |  150-500人,房地产
AP（数学、物理、化学、生物、经济、统计等）老师,1.5-2万,广州·越秀区,3-4年,本科,,曼哈顿国际英语（广州）中心,民营  |  少于50人,教育/培训/院校
会计、统计、经济类职称,4.5-6千,长沙,3-4年,大专,"会计助理
交通补贴
节日福利
餐饮补贴
周末双休",广州名建工程咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
总部经济专员（湖州长兴）(J10076),1-2万,湖州·长兴县,2年,本科,"五险一金
交通补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",谷川联行有限公司,民营  |  500-1000人,多元化业务集团公司
经济法讲师,1.2-2万,成都·高新区,3-4年,本科,"讲师
带薪年假
五险一金
绩效奖金
专业培训
全勤奖",成都环宇知了科技有限公司,民营  |  500-1000人,教育/培训/院校
财务出纳,4-6千,广州·海珠区,5-7年,大专,"财务
会计
五险一金",广州市世纪兆业经济发展有限公司,民营  |  500-1000人,多元化业务集团公司
项目经济师（社招）,15-20万/年,上海·虹口区,5-7年,本科,"建筑
装饰
项目
经济师
成本
预算
五险一金
补充公积金
专业培训
定期体检
绩效奖金",上海市建筑装饰工程集团有限公司,国企  |  1000-5000人,建筑/建材/工程
国企 诚聘保险经济人,1.5-2万,杭州·江干区,1年,大专,"员工旅游
专业培训
绩效奖金
年终奖金
弹性工作
通讯补贴
周末双休",中国人寿保险股份有限公司杭州市分公司,国企  |  10000人以上,保险
A-level （数学、物理、生物、经济等）,1-1.5万,珠海,2年,本科,"留学
英语
双语
老师
五险一金
绩效奖金
专业培训
全勤奖
节日福利
员工旅游
弹性工作",珠海市志途教育信息咨询有限公司,民营  |  少于50人,教育/培训/院校
房产经济,8千-1.6万,重庆·渝北区,无需经验,,"五险一金
出国机会
年终奖金
专业培训
员工旅游
股票期权
培训
销售
房地产",重庆到家了逸畔房地产经纪有限公司,民营  ,房地产
经济老师,1-1.5万,苏州·工业园区,1年,本科,"经济
金融
英语
国际课程
经济学
商科经济学
商科
五险一金
员工旅游
补充医疗保险
定期体检
弹性工作
专业培训",爱唯易,民营  |  50-150人,教育/培训/院校
高中双语经济教师,1-1.8万,苏州·相城区,2年,硕士,"苏州外国语
高中老师
经济
双语
英语
五险一金
年终奖金
三餐
住宿
子女入学优惠
专业培训",苏州市相城区苏城外国语学校,民营  |  150-500人,教育/培训/院校
总部经济招商经理（武汉）,1.5-1.8万·13薪,武汉·江岸区,3-4年,本科,"专业培训
周末双休
带薪年假
五险一金
节日福利
绩效奖金
高温补贴
产业园区招商
大客户销售",谷川联行有限公司,民营  |  500-1000人,多元化业务集团公司
双语经济学老师,1-1.8万·13薪,广州·黄埔区,2年,本科,"经济学
双语
五险一金
餐饮补贴
绩效奖金
年终奖金
定期体检
交通补贴",广州市黄埔区新侨学校,民营  |  50-150人,教育/培训/院校
总部经济招商顾问（太原）,7千-1.2万,太原,1年,本科,"五险一金
年终奖金
绩效奖金
快速发展
行业领先
重点项目
发展空间大",谷川联行有限公司,民营  |  500-1000人,多元化业务集团公司
助理研究员/副研究员/博士后,1.2-2万,深圳·龙岗区,3-4年,硕士,"五险一金
免费班车",深圳数据经济研究院（香港中文大学（深圳）数据经济研究院）,事业单位  |  少于50人,学术/科研
投资二部副总经理,20-30万/年,重庆,3-4年,硕士,,重庆数字经济投资有限公司,国企  |  少于50人,金融/投资/证券
建筑总经济师,7千-1.4万,大连·普兰店区,10年以上,本科,五险一金,大连三川建设集团有限公司,民营  |  500-1000人,建筑/建材/工程
Alevel经济教师（高中）,6千-1.2万,沈阳·沈河区,2年,硕士,"五险一金
定期体检
节日福利",大连英领国际教育培训学校,民营  |  150-500人,教育/培训/院校
双语经济导师（青浦校区）,1.5-2万,上海·青浦区,无需经验,本科,"经济
经济教师
五险一金
员工旅游
专业培训
定期体检
年终奖金
餐饮补贴",上海光华启迪教育培训有限公司,民营  |  50-150人,教育/培训/院校
造价工程师（工程经济）,1-2万,北京·丰台区,3-4年,本科,"工程管理
工程造价
造价咨询
公路
工程经济
市政
铁路工程
概预算编制
轨道交通
五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
定期体检",中经建研设计有限公司,国企  |  150-500人,建筑/建材/工程
经济老师,1-1.5万,佛山·南海区,2年,本科,"团队有活力
免费停车
五险一金
公司重点项目
免费班车
节日福利
绩效奖金",佛山市南海区辰美教育培训中心有限公司,民营  |  50-150人,教育/培训/院校
经济老师,1.5-2.5万,佛山·顺德区,无需经验,硕士,"金融
经济
A-Level
AP
IG
GEA
五险一金
免费班车
包吃包住
专业培训
绩效奖金
年终奖金",英乐腾教育科技（广州）有限公司,民营  |  少于50人,教育/培训/院校
双语经济导师（青浦校区）,1.5-2万,上海·青浦区,无需经验,本科,"经济
五险一金
员工旅游
专业培训
定期体检
年终奖金
餐饮补贴",上海光华启迪教育培训有限公司,民营  |  50-150人,教育/培训/院校
低碳经济研究员（低碳/节能/环境咨询）,1.5-3万,北京·朝阳区,3-4年,硕士,"绩效奖金
专业培训
通讯补贴
员工旅游
五险一金
交通补贴
渠道销售
项目经理
品牌推广
市场销售
销售代表
市场
低碳
数据分析
市场调研",中国电子节能技术协会低碳经济专业委员会,非营利组织  |  少于50人,环保
经济老师,1-1.5万,佛山·南海区,2年,本科,"团队有活力
免费停车
五险一金
公司重点项目
免费班车
节日福利
绩效奖金",佛山市南海区辰美教育培训中心有限公司,民营  |  50-150人,教育/培训/院校
经济老师,1.5-2.5万,佛山·顺德区,无需经验,硕士,"金融
经济
A-Level
AP
IG
GEA
五险一金
免费班车
包吃包住
专业培训
绩效奖金
年终奖金",英乐腾教育科技（广州）有限公司,民营  |  少于50人,教育/培训/院校
双语经济学老师,1.5-2万·13薪,宁波,2年,本科,"经济学
alevel
课堂授课
五险一金
定期体检
寒暑假",宁波鄞州赫德实验学校,外资（非欧美）  |  150-500人,教育/培训/院校
线上（物化生数经济老师）,1千/天,青岛,1年,本科,,唯寻国际教育,民营  |  500-1000人,教育/培训/院校
经济老师,1-1.5万,佛山·南海区,2年,本科,"团队有活力
免费停车
五险一金
公司重点项目
免费班车
节日福利
绩效奖金",佛山市南海区辰美教育培训中心有限公司,民营  |  50-150人,教育/培训/院校
经济商科教师,1.2-2万,澄迈,1年,硕士,"五险一金
专业培训
定期体检
寒暑假
多通道晋升
商业保险",海南微城未来教育学校,民营  |  500-1000人,教育/培训/院校
记者（经济线）,10-15万/年,佛山,1年,本科,"采编
新闻
新媒体
文案
媒体
采访
编辑
策划
五险一金
专业培训
定期体检
周末双休
年终奖金
绩效奖金
免费停车",佛山日报社,事业单位  |  150-500人,文字媒体/出版
线上（物化生数经济老师）,3千及以下,南京,1年,本科,"a_level
ap
经济
教学
会计
物理
化学
数学
线上授课",唯寻国际教育,民营  |  500-1000人,教育/培训/院校
经济老师,1-1.5万,佛山·南海区,2年,本科,"团队有活力
免费停车
五险一金
公司重点项目
免费班车
节日福利
绩效奖金",佛山市南海区辰美教育培训中心有限公司,民营  |  50-150人,教育/培训/院校
总账主管/总账会计/出纳,6-8千,广州·海珠区,8-9年,大专,"五险一金
绩效奖金",广州市世纪兆业经济发展有限公司,民营  |  500-1000人,多元化业务集团公司
咨询经理,2.4-3.5万,上海·浦东新区,5-7年,硕士,"产业咨询
区域开发
旧城改造
项目策划
项目管理
团队管理
五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
员工旅游
弹性工作
通讯补贴",上海麦哲经济发展有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会)
建设集团二级子公司（省级）总经济师,2.5-3.5万,南充,10年以上,大专,"绩效奖金
年终奖金",阆中市航通军垚建设集团有限公司,民营  |  500-1000人,电子技术/半导体/集成电路
总部经济招商+年薪50W,6千-1.2万,成都·锦江区,2年,大专,,四川卫智达科技有限公司,民营  |  50-150人,政府/公共事业
专业所所长  临港品牌经济研究院下辖机构,2-2.5万,上海·浦东新区,2年,博士,"绩效奖金
节日福利
定期体检
弹性工作",上海临港品牌经济研究院,非营利组织  |  少于50人,非营利组织
高级咨询顾问（西安）,1.5-2万,西安,3-4年,硕士,"产业规划
战略规划
园区规划
专题研究
市场分析
五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
员工旅游
弹性工作
通讯补贴",上海麦哲经济发展有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会)
alevel高中经济双语教师（带薪寒暑假）,6千-1.2万,大连,1年,硕士,"五险一金
定期体检
节日福利",大连英领国际教育培训学校,民营  |  150-500人,教育/培训/院校
