职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型
会计,江苏置信物业发展集团有限公司,4.5-7千,广州-番禺区,大专,1年经验,会计,会计/审计,工作职责：1、应付对账管理2、客户日常对账逾期管控、3、客户返点核算4、电商系统账务管理5、线下进销存软件系统规范管理、建立可靠核算基础6、领导交办的其他工作事项岗位要求1、专科及以上，会计学、财务管理专业，具有会计证书；2、有一年以上帐务会计核算工作经验；3、具备一定的财务分析能力，逻辑思维清晰，熟悉国家各项相关财务、税务、审计等法规政策；4、熟练使用Office办公软件，有相关财务软件、进销存软件使用经验；5、责任心和原则性强，处事公正客观，严谨勤勉，能承受压力，服从性好，良好的分析判断能力；6、语言表达能力，心胸开阔，具良好的敬业精神和团队精神，保密意识强。上班时间：9:00-17:30，周末双休，弹性工作。,民营  |  50-150人
代账会计助理,苏州星红企业管理有限公司,4-6千,武汉-东湖新技术产业开发区,大专,3-4年经验,泸州巴蜀液酒业（集团）有限公司,制药/生物工程,岗位职责：1、审核原始凭证，保证合法合规；2、依据会计制度、准则编制会计凭证；3、办理涉税事务；4、编制财务报表；5、完成其他会计相关事务。任职要求：1、会计类、财务类等相关专业毕业；2、有行政事业单位会计工作经历者优先考虑；3、做事认真、细心、负责；4、熟练使用office办公软件和财务软件；5、具有服务意识，能适应较大的工作压力；6、有团队合作精神；7、本岗位工作地址：东湖新技术开发区花山街道办事处。,民营  |  50-150人
成本会计,武汉特车科技工程有限公司,5-7千,广州-增城区,本科,2年经验,会计,石油/化工/矿产/地质,工作职责：1、负责、处理公司的日常会计工作。包括但不限于：日常财务事宜的处理、记账凭证的编制及装订、发票的申购及开具、相关财务报表的编制及申报、税务事项的处理等；2、负责公司运营资金的日常管理及监督，确保财务数据的及时与真实，做到日清月结；3、负责公司日常收付款合同的登记，收付款单据的审核；3、负责公司各类财务管理报表的整理、工时分摊及汇报工作；4、负责公司各类资产的编制造册、盘点、登记入账等工作；5、配合会计师事务所的审计工作及有关部门的检查工作；6、完成公司领导及部门主管交办的工作。任职要求：1.大学本科及以上学历，财会类相关专业毕业；2.具有初级以上会计资格，2年以上财务会计或审计工作经验；3.熟悉财务、税务等相关专业知识和政策法规；4.责任心强、细心、有团队协作精神及较强的账务处理能力。,民营  |  500-1000人
总账会计,苏州博睿嘉晟医疗科技有限公司,5.5-7.5千,昆山,大专,3-4年经验,财务,建筑/建材/工程,岗位职责：（1）审核客户原始单据的完整性、合法性及正确性，发现异常及时反馈；（2）按时、准确完成客户的账务处理工作；（3）凭证的初步审查，包括各个科目余额的审核，保证账证、账表、核对相符；（4）根据审核无误后的账务，出具报表、进行纳税申报。（5）根据实际情况制定和优化代账服务流程；任职条件：（1）大专及以上学历，会计相关专业；（2）拥有会计证书；（3）熟悉国家会计准则以及相关的财务、税务、审计法规、政策；（4）善于沟通、敬业负责、认真细致、吃苦耐劳，有良好的职业素养，具备服务意识；（5）拥有较强的学习能力。,民营  |  500-1000人
成本会计,苏州尚腾科技制造有限公司,5-7千,杭州-拱墅区,大专,3-4年经验,财务,贸易/进出口,任职资格：1、财会专业大专以上学历；2、2年以上财务工作经验；4、有不断学习的意愿和能力；5、有良好的沟通和人际交往能力，组织协调能力和承压能力；,民营  |  少于50人
应付会计,伯朗特机器人股份有限公司,5-6千·14薪,广州-番禺区,大专,3-4年经验,会计,生活服务,岗位职责1、负责公司账务收支的会计核算;2、审核、整理会计原始单据，编制会计凭证，登记会计账簿，编制会计报表;3、其他领导临时安排的工作；岗位要求1、财务、会计专业专科以上学历，具备1年以上财务会计工作经验，并具备相应的财务管理相关知识，有会计证。2、能接受出差。（本岗位要求长期出差，不能接受者误投）,民营  |  50-150人
主办会计（芜湖）,江苏烽禾升智能科技有限公司,4-6千,武汉-江岸区,大专,5-7年经验,员工旅游,制药/生物工程,1.会计专业专科毕业，有相关工作经验从业2年以上，年龄45岁以内。2.熟悉会计准则，税法及相关法规政策。3.能够熟练操作办公软件及用友财务软件。4.有会计职称在会计师事务所工作经验优先。,民营  |  少于50人
会计实习生,恩德技术服务（深圳）企业（有限合伙）,8千-1.4万,深圳-南山区,大专,2年经验,会计核算,贸易/进出口,,民营  |  150-500人
税务会计,深圳市雅乐电子有限公司,9千-1.1万·13薪,武汉-江汉区,本科,1年经验,五险一金,电子技术/半导体/集成电路,岗位职责：1、严格执行国家财经法律法规，做好会计核算工作，确保准确、及时报送会计资料;2、完成各项财务核算及会计业务，完成财务报表及财务分析报告;3、按财务制度进行资料统计;做到数字真实、计算准确、内容完整、报送及时;.4、做好财务管理工作，与有关部门工作的沟通配合，完成领导交办事项。岗位要求：1、会计、财务管理等相关专业，本科或以上学历；2、35岁以下；3、初级会计证书；4、有国企相关工作经验优先；5、熟练掌握办公软件，EXCEL函数。,民营  |  50-150人
会计经理/会计主管,宁波亚帆酒店管理有限公司,3.5-4千,衢州,大专,1年经验,深圳市浩瀚宇腾自动化技术有限公司,农/林/牧/渔,1.负责会计和人事相关工作；2.大专及以上学历，财务管理、会计学等相关专业；3.3年以上会计工作经验，1年以上同行业相关工作经验。,民营  |  150-500人
费用会计,山鹰国际控股股份公司,6-8千,徐州-新沂市,中技/中专,1年经验,五险一金,多元化业务集团公司,岗位职责1、负责公司的相关账务处理，应收账款管理；2、负责日常***、报税等；3、领导安排的其他工作。任职资格1、财务会计相关专业中专以上学历；2、具备会计上岗证；具有扎实的会计基础知识和1-2年以上财会工作经验，3、熟悉国家财务税务政策和法规；能熟练操作财务软件和办公软件；4、具有较强的独立学习和工作的能力，工作踏实，认真细心，积极主动；5、具有良好的职业操守及团队合作精神，较强的沟通、理解和分析能力。,民营  |  50-150人
会计（松山湖、建筑工程行业）,东莞市美谷实业有限公司,6-7千,惠州,大专,2年经验,财务,石油/化工/矿产/地质,岗位职责1、负责公司的相关账务处理，应收账款管理；2、负责日常***、报税等；3、出具财务及相关报表；4、领导安排的其他工作。任职资格1、财务会计相关专业大专以上学历；2、具备会计上岗证；具有扎实的会计基础知识和1-2年以上财会工作经验，3、熟悉国家财务税务政策和法规；能熟练操作财务软件和办公软件；4、具有较强的独立学习和工作的能力，工作踏实，认真细心，积极主动；5、具有良好的职业操守及团队合作精神，较强的沟通、理解和分析能力。,合资  |  少于50人
会计,福建联合动力机电科技有限公司,4.5-6千,石家庄-赵县,大专,1年经验,北京嘉汇物业管理有限公司,快速消费品(食品、饮料、化妆品),岗位职责1、负责公司的相关账务处理，应收账款管理；2、负责日常***、报税等；3、出具财务及相关报表；4、领导安排的其他工作。任职资格1、财务会计相关专业中专以上学历；2、具备会计上岗证；具有扎实的会计基础知识和1-2年以上财会工作经验，3、熟悉国家财务税务政策和法规；能熟练操作财务软件和办公软件；4、具有较强的独立学习和工作的能力，工作踏实，认真细心，积极主动；5、具有良好的职业操守及团队合作精神，较强的沟通、理解和分析能力。,民营  |  50-150人
会计,上海荟泉实业有限公司,3-5千,上海-青浦区,大专,3-4年经验,有晋升空间,餐饮业,岗位职责；1、负责日常会计、出纳及税务管理工作；2、熟练处理出口退税、融资租赁相关工作；2、负责对公司所有收支情况进行管理和监督包括费用报销单、付款申请单的审核；3、会计账务及凭证的审核；4、月度成本账务处理及编制各类财务报表；5、负责健全和优化财务管理体系，完善财务、会计制度、规范财务管理；6、独立完成企业日常财务类工作；7、其他财务相关工作。任职要求：1、财务、会计专业大专以上学历，具有中级及以上会计职称，熟悉供应链ERP；2、有3-5年以上总账会计处理经验、熟悉税务年度清算、工商年审工作，有生产型企业总账经验；3、熟悉财务相关法律法规，会计准则和企业内部控制制度；4、优秀的沟通、协调、组织和分析能力。,民营  |  1000-5000人
主办会计,上海保资智能科技有限公司,6-8万/年,上海-浦东新区,本科,3-4年经验,五险一金,建筑/建材/工程,"1、	负责贯彻执行国家会计法规和公司制定的会计制度，全面负责公司的财务工作；2、	负责费用报销票据的审核，保证报销手续及票据的合法及准确性；3、	定期编制公司的各类财务报表，及时向领导汇报财务情况，确保财务数据真实、完整；4、	整理、保管并归档公司的各种财务账簿、财务档案、会计凭证和财务报表等相关资料；5、	负责税务、工商、统计等政府部门报表的沟通和数据提供，做好年度汇算清缴、工商公示等工作；6、	负责每年公司的审计工作；7、	完成领导交办的其它任务。任职要求：1.	会计管理、会计类专业本科以上学历；2.	熟悉财务、会计、金融知识，熟悉财税相关法律法规及财务内控制度工作流程，熟悉财务软件的使用3.	较强的风险控制和财务分析能力4.	成熟稳重、严谨细致、责任心强、保密意识强、忠于职业操守；5.	具有良好的沟通表达能力、团队合作精神、抗压能力强；6.	有高新企业相关工作经验优先；7.35周岁以下",民营  |  500-1000人
总账会计,上海高鼎文化传播有限公司,5-8千,渭南,大专,3-4年经验,会计,建筑/建材/工程,任职要求：①***财务、会计专业专科以上学历，具有助理会计师及以上任职资格；②3-4年以上财务工作经验，具备农牧业、乳品企业财务核算工作经历；③能够熟练运用EXCEL及运用各类函数，有过用友EXP软件操作实践经验，具备较强的学历能力，责任心强，具备良好的团队协作精神，有良好的职业道德；,民营  |  50-150人
会计,武汉金马凯旋置业有限责任公司,4-4.5千,广州-白云区,大专,3-4年经验,带薪年假,农/林/牧/渔,岗位职责1、负责审核原始凭证，保证报销手续及原始单据的合法性、准确性及合理性；2、独立负责公司的全盘账务处理工作，并按要求完成财务报表、分析及各类管理报表；3、按时编制财务资金预算报告（月/季/年），执行资金预算管理；4、定期审核租金、水电费及管理费账单；5、负责公司各项税种的纳税申报，管控公司税务风险，维护公司与税务部门的联系；6、做好与相关部门的配合及协调工作。任职要求1、具有普通学校大学以上学历，财务会计专业或者其他相关会计专业；2、有一年及以上会计经验，具备相应的财务管理知识、会计知识；3、能够熟练使用各种办公室软件和各种财务软件，具备基本的网络知识，人际能力、沟通能力、影响力、计划与执行能力；4、有事业心、工作认真负责，对上级的指示有很好的领悟能力，能尽守职责，按要求完成岗位工作任务；5、工作严谨、办事沉着、稳重，对会计各项工作中数据处理能够做到细心操作、认真检查、准确无误。,民营  |  50-150人
会计助理,海南龙华昌学孵化器有限公司,6-9千,西安-新城区,大专,3-4年经验,会计,汽车,岗位职责：1、负责编制记账凭证，及对现金、报销往来票据账目的检查和审核。2、负责每月税务申报工作，编制各种国税和地税报表。3、负责办理财政、税务、银行、工商等部门的工作联络以及业务往来事项。4、审核原始凭证的真实性、正确性、完整性、合法性。5、审核出纳编制的银行存款余额调节表，对未达账项较长、数额较大的经济业务要追查原因，及时采取相关措施。6、负责监督项目管理各项费用的及时收缴，保证企业资金的正常运转。7、负责公司往来账务管理，不定期与往来单位进行核对。8、积极完成上级领导交给的其他任务。任职资格：1、会计相关专业，本科及以上学历；2、3年以上建筑行业财会工作经验，持有会计职称（中级及以上）；3、熟练使用财务软件及办公软件，熟练掌握财务相关的法律法规和税法相关知识。4、会计专业知识扎实，悟性强，具备优良的职业道德。工作积极，认真负责，具备良好的沟通能力和团队协作能力。5、认真细致，爱岗敬业，有良好的职业操守；6、年龄在25岁至45岁之间。,民营  |  500-1000人
会计,江西省蓝源科技股份有限公司,6-8千·13薪,宁波-海曙区,中技/中专,2年经验,总账会计,金融/投资/证券,,民营  |  50-150人
会计,湖北实美科技有限公司,6-7千,济南-历城区,本科,5-7年经验,应付会计,通信/电信/网络设备,职位要求：1、财务、会计专业本科以上学历，持有会计上岗证。2、工作认真，吃苦耐劳，熟练掌握用友等各种财务软件。3、能够独立处理财务及报税，熟悉税务工商事宜。4、能够熟练使用Excel表及运用各类函数。5、从事过加工制造行业从业者优先。,民营  |  150-500人
代理记账会计,河南美嘉鑫企业管理咨询有限公司,6千-1万,无锡,大专,2年经验,财务,多元化业务集团公司,1.财会、经管等相关专业大专以上学历优先。2.具有会计任职资格，持有会计从业资格证书。3.处理全盘账务、完成税务申报。4.熟练使用财务软件（用友），熟悉现金管理和银行结算。5.与往来单位的应收应付款项的对账6.负责各类数据资料等保密性文件的整理、装订、保管、定期销毁等工作。7.负责公司全盘账目的财务报表，核对及调整以往年度的报表数据。,民营  |  50-150人
总账会计,广州市达戈彩美容科技有限公司,4-5千,成都-双流区,本科,2年经验,五险一金,电气/电力/水利,岗位职责负责会计相关凭证编制、账务、编制财务报表等相关工作。任职要求1.本科及以上学历，财务管理、会计、审计类相关专业，持会计证优先；2.2年以上会计相关工作经验，有物业、制造业经验者优先；3.大学英语四级以上；4.熟练操作Excel，会使用相关财务软件；注：公司为所有岗位提供员工宿舍及免费工作餐。,民营  |  150-500人
会计（双休、五险一金）,武汉凌云信通科技有限公司,7千-1万·13薪,,,,五险一金,石油/化工/矿产/地质,,民营  |  少于50人
成本会计,湖北康欣新材料科技有限责任公司,5-7千·14薪,,,,财务,金融/投资/证券,,民营  |  少于50人
建筑会计,广东沃泰建筑工程有限公司,4.5-9千·13薪,,,,财务,仪器仪表/工业自动化,,民营  |  50-150人
总账会计（急招）,苏州飞时曼精密仪器有限公司,6-8.4万/年,,,,会计,专业服务(咨询、人力资源、财会),,民营  |  少于50人
会计,西安天拓保洁服务有限公司,3.8-5.5千·13薪,,,,五险一金,仪器仪表/工业自动化,,民营  |  50-150人
注册会计师,襄阳为兴投资管理有限公司,7千-1万·13薪,,,,会计,电子技术/半导体/集成电路,,民营  |  50-150人
费用会计,广东广顺电器科技有限公司,6-8千,,,,会计,电子技术/半导体/集成电路,,已上市  |  150-500人
总账会计,佛山市南海美尔鑫汽车配件有限公司,12-14万/年,深圳,本科,3-4年经验,五险一金,贸易/进出口,职位描述：1、全面负责公司的财务工作，独立处理全盘帐务；2、及时完成各项税务申报及企业所得税年度汇算清缴工作；3、负责公司各项目平台数据、相关费用及收入核算与核对，业务提成的核算；4、负责各项涉税事项的处理与跟踪，协调对外机构的沟通，保持良好的关系；5、负责各项与财务有关的项目申报工作并准备相关资料；岗位要求：1、大专以上学历，会计、财务管理等相关专业，有3-5年以上财务相关工作经验者；2、了解国家税制、财务法规，具有较强的税务筹划能力及账务分析能力；3、熟悉使用财务软件与办公软件；4、有全盘财务处理经验，持有中高级会计证资格者优先；5、责任感强、良好的沟通协调能力；,民营  |  50-150人
成本会计,上海侨云科技有限公司,8-9千,郑州-金水区,大专,1年经验,代理记账,建筑/建材/工程,[岗位职责]:1、按制度规定组织进行各项会计核算工作，按时编报各类财会报表，保证及时、准确反映公司财务状况和经营成果。2、负责向各相关部门提供财务数据，为企业预算管理提供财务数据。3、依据国家税务法规做好税款申报缴纳工作。4、组织进行公司社保管理及其手续办理工作。5、维护和协调公司同工商、税务等部门与机构的良好关系，维护公司经营利益。6、领导临时交代的其他事物[任职资格]:1、会计、财务、金融、财经类大学大专及以上学历。2、熟悉财务、会计、财税相关法律法规及财务内控制度工作流程，熟悉财务软件的使用。3、成熟稳重、严谨细致、责任心强、保密意识强，忠于职业操守。4、具有良好的沟通表达能力、团队合作精神，抗压能力强。,民营  |  50-150人
成本会计,广东母创科技有限公司,6-8千,武汉-东湖新技术产业开发区,本科,5-7年经验,菩荷实业集团有限公司,电子技术/半导体/集成电路,职位要求:1.30—45岁，有会计师事务所工作经验优先;2.本科以上学历，会计学、财务管理专业，中级以上会计职称优先;3.有大、中型企业五年以上财务核算、管理工作经验;4.具有全面的财务专业知识、账务处理及财务管理经验;熟悉国家财税法律规范，具备优秀的职业判断能力和丰富的财会项目分析处理经验;熟悉国内会计准则以及相关的财务、税务、审计法规、政策;熟练使用MSOffice办公软件，熟练使用财务应用软件（用友软件等);5.认真细心、为人正直、责任心强，有较强的敬业精神;具有良好的综合素质，擅长沟通和协调，有较强的管理能力;原则性强，思维敏捷、严谨，工作踏实;,民营  |  50-150人
会计,广州市泉康建筑有限公司,3-5千,北京-海淀区,本科,2年经验,专业培训,专业服务(咨询、人力资源、财会),1、审核报销单，报财务总监复审及领导审批后在财务软件中编制记账凭证；2、认证增值税专用发票，月底将将需要认证得发票统计打印表格，做预申报和免抵退时用；3、根据财务软件导出相关资料编制各项报表，做好财务会计核算工作；4、每月报税报税截至日前完成各项税种税务申报工作；5、月末计提固定资本折旧，填制计提累计折旧凭证；6、计提本月员工资等数据，编制相关凭证；7、保管收款收据，出纳领取时做好登记及复核，以及往来账目核对工作；8、完成各合伙企业全盘账目，完成各公司的企业所得税汇算清缴及工商年报，完成各公司的审计工作；9、适时关注税局官方网站，了解最新税法相关信息；10、完成上级安排的其他任务。任职要求：1、本科以上，2年以上财务会计工作经验优先；2、会计专业、财务管理专业优先；3、持有中级会计职称以上，入职即上岗，能独立处理会计核算工作；4、曾有金融基金行业相关财务工作经验，取得基金从业资格证者优先；5、热爱金融行业，有责任心、乐观、积极主动；6、沟通能力和理解能力强、人品端正。薪酬福利：五险一金、双休、补充医疗、公司专业知识培训学习、不定期员工团建活动工作地点：北京市海淀区地铁10号线健德门站附近,民营  
会计,杭州立昂微电子股份有限公司,7千-1万,扬州,大专,3-4年经验,财务,会计/审计,财务岗位要求：1.具有扎实的的财务专业知识；大专以上学历、财务相关专业，。2.2年以上财务工作经历。3.具有较强的进取心和学习能力。4.具有良好的团队协作精神。5.为人正直、诚实、可靠。6.能适应较快的工作节奏。月工资:3800-5500；业绩奖金；年终奖金,民营  |  少于50人
电商会计,广东美味源香料股份有限公司,5-8千,南京,大专,2年经验,会计学,贸易/进出口,,民营  |  150-500人
会计助理,徐州国雄房产置业有限公司,5-6千,广州-白云区,大专,3-4年经验,总账会计,计算机软件,1、熟悉掌握财务制度、会计制度和有关法规2、独立负责公司全盘账，编制记账凭证，出具财务报表3、监督应收及应付账款等的账务管理，确保账实相符、账表相符4、能独立处理公司财务事务，对财务工作有独到的见解5、完成财务部门负责人安排的财务工作任职要求：1、会计、财务或相关专业大专以上学历，有三年以上相关工作经验，有会计从业资格证2、熟悉相关税务政策及法律法规。3.熟悉会计报表的处理，熟练使用office办公软件及财务软件（如金蝶、用友软件）4.良好的学习能力、独立工作能力和职业道德5.工作细致，责任感强，有良好的沟通协作能力6.愿意接受外地出差工作。,民营  
核算会计-东风设计院,东风汽车集团股份有限公司,6-8千,上海-宝山区,大专,5-7年经验,周末双休,服装/纺织/皮革,熟悉建筑税务税法，有过五年以上财务经验优先,外资（非欧美）  |  500-1000人
会计.（元阳公司）,前方科技（建水）有限责任公司,3.5-6千,深圳-龙华区,大专,3-4年经验,会计,医疗设备/器械,岗位职责:1、进行全盘账务处理，根据会计准则按时编制记账凭证，出具并核对月度、季度、年度财务报表和各类管理类报表，及时完成纳税申报工作;2、复核公司费用报销单据，原始单据、各种凭证、账簿、报表等按月装订并定期归档;3、做好应收应付帐款日常核对工作，及时将对帐资料归集存档;4、接受税务、审计等部门的检查、监督，及时、准确提供所需的各项资料，与各方保持良好的沟通及协调;5、上级领导交待的其他工作。任职要求:1、***；2、财务，会计，经济等相关专业大专以上学历；熟练操作Excel、Word等办公软件;3、能够独立进行账务处理，熟悉会计法规和税法，熟练使用金蝶财务软件;4、三年以上工厂会计全盘账务工作经验，熟悉制造工厂的财务制度、成本核算、税务等;5、熟悉国家财务政策，会计法规，了解税务法规和相关税收政策;6、工作踏实稳定、细致，认真负责，有高度的责任心，良好的职业道德及沟通能力，服从上级工作安排。,民营  
财务会计,广东宝路盛精密机械有限公司,7千-1万,张掖,大专,2年经验,项目会计,服装/纺织/皮革,岗位职责：1、按期缴纳各种税款；2、债权、债务及时登记、及时查清、按月做好财务状况分析；3、审查公司对外提供的会计资料；4、对会计帐目及凭证要按期装订成册，妥善保管；5、制订公司内部财务、会计制度和工作程序，经批准后组织实施并监督执行；任职资格：1、财会、金融类相关专业本科及以上学历，持有会计证；2、2年以上工作经验，有一般纳税人企业工作经验者优先；3、认真细致，爱岗敬业，吃苦耐劳，有良好的职业操守；4、思路清晰，考虑问题细致；据有较强的组织、控制能力，较强的沟通协调能力；5、熟练应用财务及Office办公软件，对金蝶、用友等财务系统有实际操作者优先；6、有良好的职业道德和职业操守，良好的团队合作意识、服务意识、管理意识；7、有会计从业资格证书，同时具备会计初级资格证者优先考虑。,民营  |  50-150人
总账会计,深圳市野妹投资发展有限公司,5-8千,南京-江宁区,本科,5-7年经验,会计,计算机软件,1、跟踪督促各岗位人员的工作流程和进度，抽查代账客户记账凭证质量；2、认真贯彻国家有关财政法规；3、能够独立完整搭建财务架构体系，完善健全财务各项制度；4、建立健全财务管理与核算的各项规章制度，按期修订和完善；5、负责团队建设与管理，检查考核财务人员的工作质量，负责协调财务与各部门之间的关系，主动解决工作中出现的问题，带领财务人员高效准确的做好财务工作；任职要求：1、5年以上财务工作经验，相关财务、会计等专业本科及以上学历，有中级会计职称、注册会计师资格证书者优先考虑；2、良好的沟通协调能力，性格沉稳，细致耐心，为人正直；3、具备较高的业务素质和较强的工作能力；4、遵守财经法规，坚持原则，客观公正，严格遵守公司各项规章制度；5、熟知国家财经法律法规政策，熟练操作财务软件。福利待遇：做五休二、带薪年假、员工旅游、全勤奖、节日福利、专业提升、工作补贴；,国企  |  50-150人
会计,安徽新视野门窗幕墙工程有限公司,4-5千,广州-花都区,大专,2年经验,餐饮补贴,电子技术/半导体/集成电路,"1.负责公司工厂财务的全面日常工作，编制工厂的财务报表2.负责工厂一般纳税企业的全盘账与报税工作3.负责工厂进出口退税和账户处理工作4.负责记账凭证的编号、装订；保存、归档财务相关资料；负责开具各项票据5.负责工厂应收应付货款的管理和监控6.分析工厂财政状况，控制公司各项费用支出及公司税务，优化收支预算7.负责工厂税务，海关资料的事务，维护和协调公司同银行、工商、税务等部门与机构的良好关系，维护公司经营利益8.组织制定财务方面的管理制度及有关规定，并监督执行9.完成上级交给的其他日常事务性工作任职要求：1、拥有2年以上财务工作经验，能做总账，熟悉财务软件及手工账操作,熟悉进出口退税事务（没有此项经验，请***简历）；2、大专以上学历，有初级会计师资格者、箱包行业经验优先；3、熟悉会计、审计、税务、财务管理、会计电算化、相关法律法规，熟练使用财务软件及OFFICE办公软5、工作细致、严谨，具有良好人际关系，具有沟通和协调能力、计划与执行能力6、具有较强的工作热情和责任感、极强的职业道德，拥有正确的价值观。职位福利待遇：（1）薪资待遇：工资+奖金，工资发放及时（2）社保五险：公司为正式员工购买五险；（4）工作时间：9:00am-18:00pm，午间休息一个小时，周末双休；（5）办公环境：高档写字楼，交通方便；（6）文化活动：员工生日会，每月聚餐；（7）年度旅游：公司每年定期组织1-2次大型旅游活动，回馈员工的努力（已经组织去过西安，丽江，三亚，珠海，桂林等）",已上市  |  500-1000人
