职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型
债券业务营销管理副总,上海中宁隆道资产管理有限公司,3.5-5.5万,上海-浦东新区,本科,5-7年经验,营销,金融/投资/证券,岗位职责：1、负责业务团队日常管理工作，包括且不限于团队人员的工作安排、绩效考核等；2、负责拟定部门的相关制度考评，包括：激励计划、部门人员优化制度等；3、负责平时营销活动督促工作，定期梳理复盘投行覆盖情况；4、负责项目线索发布和讨论，追踪团队业绩指标完成情况、工作落实情况；5、负责团队人员的定期优化，包括且不限于不合格员工谈话等；6、上级交办的其它工作事项。任职要求：1、本科及以上学历，对债券市场有基础了解者优先；2、7年以上金融行业工作经验，3年以上大型业务团队管理经验，有较为丰富的管理策略；3、较强的人际交往能力和组织协调能力；4、品行端正、工作严谨细致，积极有责任心。,民营  |  500-1000人
财务管理岗（资产管理方向）,安徽保利房地产开发有限公司,1.5-1.6万,合肥-政务区,本科,3-4年经验,专业培训,房地产,岗位职责：1、测算监控资产运营及收益情况，完成各类资产收入、成本、利润等核算，通过各种措施增加资产收益率。2、研究行业及区域竞企盈利模式、产品特点、管理体系等，定期形成研究报告。3、完成拟拓展项目自持物业部分的可研报告，商业部分的前期策划。4、对公司资产进行统筹管理，制定计划，负责各项考核指标下达。任职资格1、本科及以上学历，财务会计类、投资经济类、营销市场类等相关专业优先；2、品牌房企同岗位3年以上工作经验；3、具备较强的沟通协调能力、组织能力及办公软件操作能力；4、有难点项目破局经验优先。,国企  |  150-500人
酒店管理经理人,云南志远物业管理有限公司,6-8千,昆明,大专,3-4年经验,酒店管理,建筑/建材/工程,工作内容：1、全面负责酒店日常经营和管理。2、对公司酒店进行市场定位和可行性分析。3、全面提升酒店制度化、标准化管理模式。4、确保酒店经营和管理指标的完成。任职要求：1、熟悉酒店管理制度、熟悉酒店管理工作的作流程，及时了解酒店行情。2、具备丰富的管理培训经验，能系统对酒店工作、服务进行完善的培训。3、大专以上学历，具备良好的沟通能力，有管理团队的能力。4、有3年以上酒店管理经理人经验，熟练使用办公软件。5、具备一定的抗压能力。薪资待遇：面议,民营  |  50-150人
项目管理（安保）,上海信安保安服务有限公司,6千-1万,上海-浦东新区,大专,5-7年经验,五险一金,物业管理/商业中心,岗位职责:1、负责项目实施全过程控制，包括进度控制、项目成本管控，团队管理等；2、对所在项目进行人员管理、评估、培训及考评等;3、负责与客户沟通协调，及时了解客户需求与意见，确保客户满意度;4、不定期进行项目巡检，对存在问题予以指导。任职资格：1、大专及以上学历，32-45岁之间，有5年以上保安团队管理经验；2、熟悉安防行业，从事过安防工作及视频监控中心经验者优先考虑;3、具备较强的人员团队管理与推进能力，良好的问题分析和解决能力，较好的电子文档编写能力;4、团队合作性强，具备良好的沟通协调能力，5、熟练驾驶，要求有自备车，沪牌优先；注：按项目区域划分，全市范围，总部地址：浦东金桥,民营  |  500-1000人
销售管理主管,鑫山保险代理有限公司浙江分公司,1.5-3万,杭州-余杭区,大专,3-4年经验,团队筹建能力,保险,"职责描述：1.负责团队销售管理。2.负责业务部的人力与绩效管理，完成年度指标。3.协助新入职跨行业人才的日常培训及授课。4.对三个月内的新人进行绩效辅导，对三个月后的新人进行组织运营管理。5.辅导新晋升主管进行团队管理，帮助提升组织管理能力。6.组织有针对性的营销和人力发展培训，提升所有项目人员的销售能力及推动晋升意愿，发展组织。7.推动专案项目的各项荣誉体系。8.维持业务部的正常运作。岗位要求:1.大专及以上学历，28-45岁之间。2.有团队管理或部门管理经验优先。3.有世界500强企业及大型外企工作资历者优先。4.主动积极，有较强领导力及影响力。5.有较强的沟通能力，团队组织、协调和督导能力。6.熟练运用MSOffice,包括Word、Excer、PPT。7.具备职业操守，行为合规。",合资  |  1000-5000人
生产管理（嘉善),上海逸航汽车零部件有限公司,1-1.8万,嘉兴-嘉善县,大专,5-7年经验,专业培训,汽车,1、协助工厂与相关部门的协调沟通，定期召开生产例会，组织召开生产专题会议；2、协助督促车间按精益生产要求，合理安排生产，按质按时按量完成生产任务；3、负责向有关部门反馈产品质量、原材料情况等生产情况并协调沟通处理；4、协助督促生产员工严格按照工艺要求进行产品生产；5、协助车间月度考核及员工管理；6、协助提高生产员工劳动技能，提高劳动生产率；7、负责工厂组织员工技能培训；8、负责车间安全生产及5S工作；9、对公司的技术资料有保密义务；10、严格遵守公司各项管理制度和有关规定；11、完成上级交办的其他工作任务。,民营  |  150-500人
市场管理专员,重庆市北碚区朵金机械有限公司,6-8千·13薪,重庆-北碚区,大专,2年经验,制造业,机械/设备/重工,1、大专及以上学历，年龄25-35岁，2年以上工作经验。2、企业管理、营销、制造业相关专业毕业。3、热爱销售工作，具备较强与客户沟通能力及书面文字表达能力。4、数量掌握office办公软件。5、主要工作地点为重庆北碚区，能接受移动办公及少量出差工作。6、有制造类企业从业经验者优先，有C1机动车驾照优先。,民营  |  50-150人
人事管理岗,贵州梦之灵文化传媒有限公司,5-8千,贵阳-云岩区,大专,1年经验,贵州梦之灵文化传媒有限公司,金融/投资/证券,业务需要，招募人事经理5名职位职责：1.岗位、职位说明、人力资源配置规划、招聘等人力资源配置系统性工作;3.梯队建设，公司管理团队评价、绩效考核、培训等组织建设及发展工作;4.培训体系建立工作;5.绩效考核、薪酬体系建立培训工作;6.拟订、修正和完善人力资源各项作业流程7.负责下属工作管理，对下属人员的工作目标、工作计划、工作结果、等进行检查评估与考核;招募条件：25-45周岁（以身份证为准），大专以上学历，有人事招聘、培训、管理经验值优先工资待遇：底薪+提成，5000-8000元/月上班时间：周一到周五，双休，节假日休,民营  |  少于50人
物业管理副经理,上海钟表有限公司,9千-1.2万,上海-静安区,大专,5-7年经验,做五休二,贸易/进出口,1.管理公司物业部的日常情况，管理内容包括：物业收入、招商工作、工程管理、合同管理、安全消防管理等一系列日常管理工作。2.定期与各项目部的负责人进行沟通，了解各项目部现场管理情况，指导检查各项目部日常工作。3.贯彻落实公司领导的中心思想，制定合理的方案，确保公司健康稳定的发展。4.具有物业管理的专业知识，做过办公楼宇物业管理负责人，有良好的沟通交流能力，人脉广，责任心强。5.熟练运用各类办公软件。,民营  
食堂管理员/主管,康辉南通新材料科技有限公司,5-8.5千,南通-通州区,中技/中专,无需经验,厨房,原材料和加工,"1、负责食堂组织、计划、实施厨房的全面日常工作，督促员工按规定优质高效完成本职工作。2、坚持层级管理、协调各岗之间的关系，创造良好的工作环境，确保各项工作的顺利完成.3、督导各岗位保持厨房卫生、整齐，确保卫生，防止食物中毒。4、根据财务预算，做好伙食成本核算工作。5、定期召开例会，解决协调存在的问题,及时传达上级精神和指示，定期向上级领导汇报工作。6、监督做好员工考勤管理和假期安排工作。7、做好员工的业务培训、考核、培养工作。8、及时处理突发事件及完成上级交办任务。",民营  |  5000-10000人
综合总助管理,九江世瑞人力资源有限公司,1.6-2.4万,杭州-上城区,大专,3-4年经验,管理,专业服务(咨询、人力资源、财会),1负责公司部分管理工作2负责公司发展工作3协调内部各项工作4负责企业文化推广，确保总公司制度文化保持致5完成领导交办的其他工作6部门综合管理,民营  
客户主管（团队管理）,中信银行股份有限公司信用卡中心镇江分中心,20-25万/年,镇江-京口区,本科,1年经验,管理,银行,【岗位职责】:1.组织团队客户经理在当地开展信用卡及相关零售金融产品的营销工作；2.负责营销小组日常管理工作；3.负责组织落实客户经理的招聘和培训工作。【任职资格】:1.本科及以上学历；2.35周岁以下，条件优秀者可适当放宽；3.1年以上工作经验，有基层管理经验者优先；4.具有良好的沟通能力，较高的执行力。【薪资待遇】:基本工资+绩效等级工资+超额奖+年终奖年薪20万以上【福利待遇】:1.入职即缴纳五险一金（社保和公积金基数按照实际收入缴纳）2.餐补+通讯补贴+过节费+洗衣费+高温费+生日福利3.每年500元以上免费体检套餐4.量身定制全套行服5.入职即享受带薪年假【培训体系】专业健全的培训体系，全方位打造行业精英：系统入职培训+定期业务培训+专业管理培训+全国晋升培训【职业发展平台】1.职位晋升：室经理——地区负责人2.行编晋升激励3.分支行人才输送欢迎带团队加入我们，成就你的梦想！,国企  |  少于50人
（昆山）资产管理主管(J10695),重庆信盟科技发展有限公司,8千-1.2万,昆山,大专,5-7年经验,电话催收管理,计算机软件,"工作职责:1、负责制定所管辖团队每月的工作计划，并对团队日、周、月的运营状况及时上报和总结；2、协助根据生产任务时间范围，制定坐席人员班务安排；3、优化项目的业务流程，不断提升所辖团队的生产效率及业务质量；4、负责组长日常工作标准制定及工作评估、考核，帮助组长管理能力提升；5、负责组长及组员的关怀，确保流失率控制目标的达成等其他事项。任职资格:1、***大专及以上学历，金融、财经、法律、统计、管理类相关专业优先；2、熟悉电话催收业务管理及运营流程,从事电话催收管理工作3年以上；3、能熟练运用PPT\EXCELb\WORD等办公软件,有一定数据分析能力；4、高度责任心，能承受较强的工作压力，具备较强的沟通表达能力，性格沉稳，考虑问题细致，执行力强。",民营  |  5000-10000人
楼层管理员,隆凯集团,5-6.5千,宁波,高中,1年经验,五险一金,物业管理/商业中心,1、负责对商场内的商户进行租金物业的收缴；2、定时对商场所辖范围进行巡查，检查设备、设施使用情况，发现安全隐患及时通知相关部门进行解决，以避免危险及损失的发生；3、跟进各项管理工作，对租户的需要提供服务，预约服务时间，做出服务安排，以求租户100％满意；4、对商场以及公共地方的经营活动进行监督管理，发现问题及时通知经营部，根据其意见进行处理，维护经营秩序；5、完成领导交办的其他工作任务。任职资格:良好的沟通能力及应变能力，高度的工作责任心，品貌端正。,民营  |  50-150人
综合管理,九江世瑞人力资源有限公司,1.8-3万·14薪,杭州-上城区,大专,3-4年经验,管理,专业服务(咨询、人力资源、财会),1负责公司部分管理工作2负责公司发展工作3协调内部各项工作4负责企业文化推广，确保总公司制度文化保持致5完成领导交办的其他工作6部门综合管理,民营  
办公管理部总监(J10371),广州禾信仪器股份有限公司,25-40万/年,广州-黄埔区,本科,10年以上经验,办公室主任,仪器仪表/工业自动化,工作职责:1.负责公司办公管理体系的搭建和完善，并确保体系的可靠运行2.负责公司级周会、月会、年中、年终总结等办公会议的策划、保障和秩序管理。3.负责公司对内、对外的文件传递流转和公司内部公文管理工作、档案管理工作。4.负责管理公司公章，对公章的刻制、使用、废止进行审核。5.在公司保密委员会的领导下，负责公司文件保密体系建设，及日常管理工作。6.负责协助公司领导开展专项调研，分析经营管理中存在的问题；负责汇总支撑决策的相关信息，并呈报上级领导；7.协助中心总经理督办重要决策、决议以及上级领导交办任务的执行；8.协助办公管理中心总经理处理管理事务，包括协助开展内外事务、负责日常工作安排、文字材料书写等。9.其它临时交办任务的跟进与反馈任职资格:1.本科及以上学历，行政管理、企业管理、经济类等相关专业；2.产研销一体型高新技术企业背景，8年以上公司综合管理经验，熟悉政府政策和工作流程、政府要务联络；2.系统掌握企业横向管理理论知识：研发、营销、商务、财会、人力资源、生产供应等；3.熟练运用OFFICE软件，擅长文字撰写及PPT制作等；4.逻辑清晰、细心谨慎、责任心强、执行力强；很强的人际沟通、协调能力；保密意识强。,已上市  |  500-1000人
运营管理高级经理（养老机构院长）,上海市健康养老发展（集团）有限公司,30-40万/年,,,,养老,政府/公共事业,,国企  |  50-150人
经营管理专员,宁夏宝丰集团有限公司,6千-1万,,,,公寓式住宿,多元化业务集团公司,,民营  
综合管理,九江世瑞人力资源有限公司,2-3万,,,,五险一金,专业服务(咨询、人力资源、财会),,民营  
经营管理岗,广州南沙现代农业产业集团有限公司,7千-1万,,,,绩效奖金,农/林/牧/渔,,国企  |  150-500人
建设管理部部长（下属子公司交发港航）,绵阳交通发展集团有限责任公司,9千-1万·15薪,,,,政府,交通/运输/物流,,国企  |  1000-5000人
售后培训管理经理-猛士科技,东风汽车集团股份有限公司,1.5-2.5万,,,,东风汽车集团股份有限公司,汽车,,国企  |  10000人以上
项目管理,南京安运机电有限公司,1-2万,南京,本科,3-4年经验,五险一金,机械/设备/重工,年薪：税前15-30W/年岗位职责：1.了解客户现场工艺，与客户做好沟通协调工作，明确客户的实际需求；2.按照客户的需求，和项目团队做好新项目立项阶段的评审、批准，做好需求分析；3.负责项目组内工作协调，指导项目团队有序开展工作;4.把控项目偏差，确保各部门在项目过程中符合项目管理流程；5.负责项目的及时跟进以及总结，优化和完善项目管理流程，定期向客户总结汇报整体的项目情况，与客户保持良好的沟通；任职要求：1.本科及以上学历，电气与自动化、机械自动化、工程管理相关专业优先，2.3年以上制造业项目相关管理经验;3.熟悉项目管理有关的理论和技能知识，熟悉自动化设备的相关标准及项目管理方法3.具备良好的沟通能力，表达能力，问题分析和处理能力;4.具备优秀的管理协调能力和执行力，能够对项目团队进行良好的管理和培训;5.能接受频繁出差。在这里，你将获得：1.风口行业：聚焦新能源锂电、氢能、太阳能及半导体行业，主营业务为涂布技术及工业视觉和射线检测2.晋升发展：年度评级调薪，专家及管理路线发展通道畅通，横向多岗位融合发展机会3.基础保障：多地五险一金缴纳保障、开放的学习平台及资源、丰富的外部培训机会、完备的入职培训4.假日福利：节日福利、年休假、婚假、产假、法定假日,民营  |  150-500人
营销管理,武汉飞凌德胜科技有限公司,0.8-1万,武汉-武昌区,大专,3-4年经验,市场,互联网/电子商务,,民营  |  50-150人
生产管理储备干部,滁州恒昌机械装备制造有限公司,9千-1.5万,滁州,大专,5-7年经验,工作餐,机械/设备/重工,生产管理岗位职责：1、根据公司发展需要，负责组织实施完成年度生产任务和目标管理工作2、负责战略规划，提高工时生产能力和效力3、负责组建和完善生产系统，编制生产计划4、负责管控生产进度，搞好各工序车间的协调，做好人力、设备、物料资源统筹5、负责公司生产、技术和质量保障工作，发现问题及时解决任职要求：1、***专科以上学历、年龄35岁-50岁2、有5年以上生产管理、成本控制和现场管理经验3、拥有较强的业务处理能力（计划执行、生产管理、目标达成）和业务外联能力4、有在500人以上生产制造型公司任职经验，有钣金件加工企业管理者优先,民营  |  150-500人
综合管理员,上海建工二建集团有限公司,5-7千,,,,项目管理,建筑/建材/工程,,国企  |  1000-5000人
央企销售管理时间自由,中国人寿保险股份有限公司郑州市分公司,1-1.5万,郑州-管城回族区,大专,无需经验,补充医疗保险,金融/投资/证券,,国企  |  10000人以上
投诉管理岗 (MJ005943),太平洋寿险福建分公司,5-7千,福州-鼓楼区,本科,2年经验,定期体检,保险,一、岗位职责：1.负责监管单位投诉的受理、转办和结案，及时响应监管单位转办的各类客户投诉，转办投诉案件至涉诉机构，追踪案件处理，落实快处机制；2.定期完成保监局各类报告、报表，进行数据统计、投诉分析和总结反馈，与保监局保持良好沟通；3.负责全辖投诉处理工作的组织协调，对投诉队伍工作情况进行监督考核；对全辖投诉情况进行阶段性分析总结；4.负责投诉处理人员的队伍建设和专业培训。二、任职要求：1、大学本科及以上学历，35周岁以下；2、具备团队协作意识，善于与人沟通；3、细心、耐心、有责任心和较高的执行力；4、熟练掌握word、excel、PPT等办公软件。三、薪资福利：1、薪资组成：基础工资＋岗位工资+绩效工资+年终绩效。2、福利保障：五险一金（含养老保险、医疗保险、失业保险、工伤保险、生育保险、住房公积金）、过节费、劳保、高温费、意外伤害保额50万、意外医疗保额2万、重大疾病保额30万、全额带薪年休假等，并享有工会会员相关福利。四、其他：此岗位为省公司内勤岗，正式编制，签订***劳动合同。上班时间：8:30-12:0014:00-17:30，五天七小时制，周末双休。公司包三餐。,国企  |  500-1000人
